Name,Listing Type,Feature Tag,Price,Location,Room Count,Area
DAĞISTAN GAYRİMENKUL - BASINKÖYDE 4+2 250M2 KİRALIK DUBLEX,No type,Yeni,40000,"Basınköy, Bakırköy",4+2,260
MERKEZİ KONUMDA 1+1 GENİŞ PEYZAJ MANZARALI,No type,Yeni,12500,"Cumhuriyet, Esenyurt",1+1,65
LEVENT CASADA 9639 RESİDENCE KİRALIK 3+1 DAİRE,No type,No tag,35000,"Çeliktepe, Kağıthane",3+1,95
TORUNLAR EMLAKTAN KİRALIK ÇATI KATI DAİRE DEMİRKAPI MAH.,No type,Yeni,10000,"Demirkapı, Bağcılar",2+1,85
ESENYURTTA 2+1 FULL YAPILI MERKEZİ KONUM KAPALI MUTFAK DAİRE,No type,Yeni,15000,"Yenikent, Esenyurt",2+1,105
Merkezi konumda kiralık masrafsız ara katı daire,No type,Yeni,17000,"Atikali, Fatih",2+1,95
MAÇKA CADDEDE MANZARALI İÇİ YENİLENMİŞ LÜKS  4+1 KİRALIK DAİRE,No type,No tag,170000,"Harbiye, Şişli",4+1,230
FİŞEKHANE'DE BÜYÜKYALIDA KİRALIK 1+1 DENİZ MANZARALI LÜKS EŞYALI,No type,No tag,55000,"Kazlıçeşme, Zeytinburnu",1+1,90
BEYLİKDÜZÜ KİRALIK DAİRE 3+1=185M2 BOŞ HEMEN TESLİM EŞYASIZ.!!,No type,No tag,22000,"Adnan Kahveci, Beylikdüzü",3+1,185
Ortaköy Yeni Binada 1.5+1 Bahçe Katı Ultra Lux Eşyalı Daire,No type,No tag,60000,"Mecidiye, Beşiktaş",1+1,110
Cemil Topuzlu'da Geniş Teraslı ve Enfes Deniz Manzaralı Dubleks,No type,No tag,119000,"Caddebostan, Kadıköy",4+2,360
ÇEKMEKÖY TAŞDELEN SİTE İÇİ HAVUZ CEPHE ÇİFT BANYO KİRALIK 2+1,No type,No tag,26000,"Sultançiftliği, Çekmeköy",2+1,110
Zümrütevler'de Merkezî Konumda Kiralık 3+1 Ters Dubleks Daire,No type,No tag,15500,"Zümrütevler, Maltepe",3+1,125
Tuzla Şifa'da Kiralık Daire,No type,No tag,14000,"Şifa, Tuzla",2+1,75
BÜYÜKADA DA KEYİFLİ BAHÇEKATI YAZLIK..,No type,Yeni,70000,"Maden, Adalar",2+1,80
ŞİŞLİ MECİDİYEKÖYDE KİRALIK 3+1 DUBLEX DAİRE,No type,No tag,20000,"Mecidiyeköy, Şişli",3+1,120
KADIKÖY BAHARİYE CAD. KİRALIK 2+1 KİRALIK DAİRE,No type,No tag,29500,"Osmanağa, Kadıköy",2+1,95
"AVCILAR  DENİZKÖŞKLER ""DE  2+1 90 M2 KİRALIK DAİRE.",No type,Yeni,10500,"Denizköşkler, Avcılar",2+1,100
"Kiptaş 2. Etap 3+1 115 m2 Tuzla Mimar Sinan'da Kiralık Daire,",No type,No tag,22500,"Mimar Sinan, Tuzla",3+1,115
Acıbadem Avrasya ve Metroya yakın Full Eşyalı 3+1 Kiralık #1176,No type,No tag,45490,"Acıbadem, Kadıköy",3+1,102
Göztepe Sevgili Residence Full Eşyalı 4+1 Kiralık #1410,No type,No tag,119990,"Göztepe, Kadıköy",4+1,168
Ümraniye Sinpaş Palas Full Eşyalı 2+1 Kiralık #1413,No type,No tag,59990,"Site, Ümraniye",2+1,108
Göztepe Çiftehavuzlar Caddeye Yakın Ful Eşyalı 3+1 Kiralık #1385,No type,No tag,64990,"Göztepe, Kadıköy",3+1,126
Ümraniye Sinpaş Palas Full Eşyalı 1+1 Kiralık #1229,No type,No tag,31490,"Site, Ümraniye",1+1,66
KİRALIK GÖKALP.48 SOK 1+0 STÜDYO DAİRE,No type,Fırsat,7500,"Gökalp, Zeytinburnu",1+1,40
Ataşehir Metropol Full Eşyalı 1+1 Kiralık #1157,No type,No tag,45490,"Atatürk, Ataşehir",1+1,96
Üsküdar Mehmet Akif Ersoy Mah 3+1 Kiralık Daire En₺@ Eml@k,No type,No tag,20000,"Mehmet Akif Ersoy, Üsküdar",3+1,100
AVCILAR  MERKEZDE  3+1 110  M2 KİRALIK DAİRE.,No type,Yeni,11000,"Merkez, Avcılar",3+1,120
MASLAK ECLİPSE FULL EŞYALI BALKONLU KİRALIK STÜDYO DAİRE,No type,No tag,29000,"Maslak, Sarıyer",1+0,55
CAFELER BÖLGESİNE YAKIN ANA CADDE ÜZERİNDE 2+1 KİRALIK ARA KAT,No type,No tag,8500,"Piri Reis, Esenyurt",2+1,90
SEEWORLD KENTLİFE 2+1 BAHÇEKATI KİRALIK 116m2 kent life,No type,No tag,24000,"Emek, Sancaktepe",2+1,116
AĞAOĞLU ÇEKMEKÖY PARK 13. KAT ŞEHİR MANZARALI 2+1 EŞYALI KİRALIK,No type,No tag,40000,"Mehmet Akif, Çekmeköy",2+1,110
Esenler kiralık daire,No type,Yeni,15000,"Merkez, Güngören",3+1,130
BEŞİKTAŞ NİSBETİYE MAH PETROL SİTESİ KİRALIK 2+1 EŞYALI DAİRE,No type,No tag,31500,"Nisbetiye, Beşiktaş",2+1,80
SEEWORLD SİNPAŞ LİVA TURKUAZ 1+1 BALKONLU KİRALIK liva,No type,No tag,15500,"Adil, Sultanbeyli",1+1,75
BAŞAKŞEHİR BULVAR İSTANBUL 'DA  2+1  KİRALIK DAİRE,No type,Yeni,26000,", Başakşehir",2+1,125
ÇEKMEKÖY SAFRANBOLU EVLERİNDE BÜYÜK TİP DEKORLU KİRALIK 2+ 1,No type,No tag,24000,"Merkez, Çekmeköy",2+1,100
Halkalı Toki Orkide-2 Sitesi 172m 3+1 Çift Banyolu Daire,No type,No tag,30000,"Atakent, Küçükçekmece",3+1,172
SKYLAND İSTANBUL'DA 1+0 KİRALIK EŞYALI STÜDYO DAİRE,No type,No tag,30000,"Huzur, Sarıyer",1+0,52
1 MAYIS BOŞ TESLİM MALTEPE SAHİLDE DENİZ MANZ. 150m2 KOMBİLİ LÜKS,No type,No tag,52000,"Yalı, Maltepe",3+1,150
SEEWORLD AĞAOĞLU ELTES GOLD 89M2 FULL EŞYALI KİRALIK 1+1,No type,No tag,24000,"Madenler, Ümraniye",1+1,89
Erenköy Kazasker Full Eşyalı 3+1 Kiralık #1218,No type,No tag,49990,"Erenköy, Kadıköy",3+1,132
Avcılar Merkez'de Kiralık Daire,No type,Yeni,12000,"Merkez, Avcılar",1+1,60
BULGURLU  METRO YA  10 DAK  2+1 ODA  75 M2  3 KAT DAİRE  BALKONLU  KİLİMALI,No type,No tag,19000,"Cumhuriyet, Üsküdar",2+1,80
Ümraniye Suryapı Exen Full Eşyalı Yüksek Kat 1+1 Kiralık #369,No type,No tag,26490,"Tantavi, Ümraniye",1+1,66
Beylikdüzü Adnan Kahveci'de Kiralık Daire,No type,No tag,19000,"Adnan Kahveci, Beylikdüzü",2+1,90
Yenibosna Zafer mahallesinde kiralık 3+1 daire güney cephe metrobüse 10 dakika,No type,No tag,13500,"Zafer, Bahçelievler",3+1,140
BEYLİKDÜZÜ  BEYKENT'TE 2+1 80 M2 EŞYALI KİRALIK DAİRE.,No type,No tag,19000,"Adnan Kahveci, Beylikdüzü",2+1,90
ESATPAŞADA  CADDE ÜSTÜ 2+1 ODA  90 M2  İKİNCİ KAT  DAİRE,No type,No tag,21000,"Esatpaşa, Ataşehir",2+1,100
Ataşehir Andromeda Full Eşyalı 1+1 Kiralık #1042,No type,No tag,31990,"Barbaros, Ataşehir",1+1,66
Beyoğlu Piyalepaşa İstanbul Polat Rezidans Kiralık 1+1 Balkonlu,No type,No tag,45000,"Piyalepaşa, Beyoğlu",1+1,75
Kartal Kordonboyu Mahallesinde 2+1 Kiralık Daire,No type,No tag,22000,"Kordonboyu, Kartal",2+1,90
SEEWORLD SUR YAPI LAVENDER FIRSAT KİRALIK 3+1 ULTRALÜX 155m2,No type,No tag,42000,"Eyüp Sultan, Sancaktepe",3+1,155
ÜLKÜ KENT SİTESİ 3+1 KİRALIK DAİRE,No type,No tag,20000,"Tozkoparan, Güngören",3+1,119
Fenerbahçe Kalamış Wyndham Otel Yakın Güvenlikli Binada 4+1,No type,No tag,63000,"Fenerbahçe, Kadıköy",4+1,190
Beylikdüzü N Towers Ferah Geniş Sitede 112 M2 2+1 Kiralık Daire,No type,No tag,13000,"Akevler, Esenyurt",2+1,112
Esenyurt Güzelyurt'ta Kiralık Daire,No type,No tag,13000,"Güzelyurt, Esenyurt",2+1,100
FULL EŞYALI SOSYAL TESİSLİ OTOPARKLI 3+1=185 M2 KİRALIK,No type,No tag,25000,"Adnan Kahveci, Beylikdüzü",3+1,185
ESENYURT ÇINAR MAH'DE 1+1 KİRALIK DAİRE,No type,No tag,7500,"Çınar, Esenyurt",1+1,120
DAP YAPI ORMANKÖY 1. ETAPTA 2+1 LOFT DAİRE,No type,No tag,32000,"Güngören, Çekmeköy",2+1,75
"BEŞİKTAŞ GAYRETTEPE'DE 1+1, 60 m2 , FULL EŞYALI, FATURALAR DAHİL",No type,No tag,35000,"Gayrettepe, Beşiktaş",1+1,80
BAKIRKÖY 'DE 2+1 EŞYALI KİRALIK DAİRE MERKEZİ KONUM,No type,No tag,23000,"Kartaltepe, Bakırköy",2+1,95
ETİLER-BEBEK TE MANZARALI 3+1 KİRALIK LÜKS DAİRE,No type,No tag,220000,"Bebek, Beşiktaş",3+1,180
ŞİŞLİ FERİKÖY'DE BAKIMLI 3+1 KİRALIK DAİRE,No type,No tag,23000,"Duatepe, Şişli",3+1,110
AVCILAR MERKEZİN TAM ORTASINDA KİRALIK SIFIR 3+1EBEVEYN BANYOLU OTOPARKLI DAİRE,No type,No tag,23000,"Merkez, Avcılar",3+1,130
Doğadan akaretler caddede boş veya eşyalı içi sıfır bahçeli,No type,No tag,25000,"Sinanpaşa, Beşiktaş",1+1,70
KÜÇÜKYALI TÜRK TELEKOM'DA MARMARAY'A YAKIN 2+1 ARAKAT,No type,No tag,21500,"Çınar, Maltepe",2+1,90
ZEN YAPI'DAN  1+1  KİRALIK ARAKAT  DAİRE,No type,No tag,11000,"Güzelyurt, Esenyurt",1+1,80
Esenyurt Zafer'de Kiralık Daire,No type,No tag,18000,"Zafer, Esenyurt",3+1,171
BEYLIKDÜZÜ 2+1 EŞYALI KİRALIK DAİRE,No type,No tag,10000,"Yakuplu, Beylikdüzü",2+1,60
YAKUPLUDA 2+1 KIRALIK DAYRE,No type,No tag,11500,"Yakuplu, Beylikdüzü",2+1,75
ESENYURT YEŞİLKENT MAHALLESİNDE 1+1 KİRALIK DAİRE,No type,No tag,15000,"Yeşilkent, Esenyurt",1+1,80
BEYKENT MERKEZDE ÜNİVERSİTE VE HASTANE YANI METROBÜSE 300 METRE,No type,No tag,15000,"Adnan Kahveci, Beylikdüzü",3+1,155
LOVA YAPI'DAN ADNAN KAHVECİ'DE SİTE İÇERİSİNDE EŞYALI KİRALIK,No type,No tag,29500,"Adnan Kahveci, Beylikdüzü",3+1,180
Fİ LİFE (YAŞAM İSTANBUL)SİTESİNDE 1+1 75 M2 EŞYALI KİRALIK DAİRE,No type,No tag,12000,"Zafer, Esenyurt",1+1,75
Esenyurt Güzelyurt'ta Kiralık Daire,No type,No tag,10000,"Güzelyurt, Esenyurt",2+1,100
Kadıköy Hasanpaşa 100 m2 Bahçeli-Yenilenmiş 3+1 Kiralık Daire,No type,No tag,27500,"Hasanpaşa, Kadıköy",3+1,135
Girne mahallesin de 3+1 E-5 ve metro yürüme 4dk,No type,No tag,18500,"Altayçeşme, Maltepe",3+1,105
Ataşehir Metropol İstanbul'da Kiralık Daire..,No type,No tag,32000,"Atatürk, Ataşehir",1+1,63
ESENYURT ZAFER MAHALLESİN' DE FUL EŞYALI 1+1 KİRALIK DAİRE,No type,No tag,15000,"Zafer, Esenyurt",1+1,120
ortaköyde 2+1 85 mt fuul möbleli daire 24.000 tl,No type,No tag,24000,"Mecidiye, Beşiktaş",2+1,90
"HAZNEDAR KİRALIK DAİRE 2+1 CADDEDE,EŞYALI",No type,Acil,18000,"Güven, Güngören",2+1,120
DAĞISTAN GAYRİMENKUL FLYIN BÖLGESİNDE 4+1 280M2 KİRALIK DUBLEX,No type,No tag,43000,"Şenlikköy, Bakırköy",4+1,290
Tuzla Mimar Sinan'da Kiralık Daire,No type,No tag,14000,"Mimar Sinan, Tuzla",2+1,75
Çiftehavuzlar Cadde Full Eşyalı 3+1 Kiralık #755,No type,No tag,69490,"Fenerbahçe, Kadıköy",3+1,156
DAĞISTAN GAYRİMENKUL - FLORYA'DA 3+1 180M2 EŞYALI KİRALIK DAİRE,No type,No tag,42500,"Şenlikköy, Bakırköy",3+1,190
OKAN GAYRİMENKUL EMLAK DAN KİRALIK 3+1 DAİRE ASANSÖRLÜ,No type,No tag,15000,"Cennet, Küçükçekmece",3+1,165
Beşiktaş abbasagada 2+1 75 mt 3 kat boyası yapılmış temiz yildiz üniversitesine bahcesehir yakın,No type,No tag,18500,"Abbasağa, Beşiktaş",2+1,80
"ETİLER ARYA SİTESİNDE 3,5+1 KİRALIK DAİRE",No type,No tag,65000,"Etiler, Beşiktaş",3+1,140
BEYLİKDÜZÜ KİRALIK DAİRE JETKENT SİTESİ 3+1=190M2 BOŞ MASRAFSIZ,No type,No tag,22000,"Adnan Kahveci, Beylikdüzü",3+1,190
"Nişantaşın'da Geniş Kiralık 3,5+1 Daire",No type,No tag,46000,"Halaskargazi, Şişli",3+1,150
PYRAMID'DEN SELENİUM ATAKÖY GÜNCEL BOŞ 97m2 (1+1) DAİRE,No type,No tag,28500,"Ataköy 7-8-9-10. Kısım, Bakırköy",1+1,97
OYAK DRAGOS KİRALIK 1+1 DAİRE,No type,No tag,26000,"Cevizli, Maltepe",1+1,60
Kızıltoprak Fenebahçe Antrenman Sahası Karşısın Kombili,No type,No tag,25000,"Zühtüpaşa, Kadıköy",1+1,30
OKAN GAYRİMENKUL EMLAK DAN ESENYURT DA KİRALIK 2+1 DAİRE,No type,No tag,10000,"Selahaddin Eyyubi, Esenyurt",2+1,100
GÜNGÖREN KİRALIK DAİRE 2+1 BOYALI,No type,Fırsat,15500,"Gençosman, Güngören",2+1,100
Kağıthane Çağlayan'da Kiralık  1+1 Daire,No type,No tag,14000,"Çağlayan, Kağıthane",1+1,70
kasımpaşa merkez kiralık daire,No type,No tag,22500,"Küçük Piyale, Beyoğlu",3+1,115
BAHÇELİEVLER CUMHURİYET MH.MUHTARLIK VE SAĞLIK OCAĞI ÜST SOKAKTA TEK DAİRELİ 3+1 KAT.3 130 M2  DAİRE,No type,No tag,19000,"Cumhuriyet, Bahçelievler",3+1,140
Halide Edip Adıvar Mahallesi 2 + 1 Kiralık Daire,No type,No tag,17500,"Halide Edip Adıvar, Şişli",2+1,100
Ataşehir Ağaoğlu Sky Towers Full Eşyalı 1+1 Kiralık #645,No type,No tag,31490,"Atatürk, Ataşehir",1+1,72
SEMBOL İSTANBUL 2+1 EBEVEYN BANYOLU BALKONLU KİRALIK DAİRE,No type,No tag,17500,"Zafer, Esenyurt",2+1,120
Orint Park Sitesinde Kiralık 2+1 Trendist Cepheli Daire,No type,No tag,26000,"Atatürk, Ataşehir",2+1,90
ESENYURT İNÖNÜ MAH'DE 1+1 KİRALIK DAİRE,No type,No tag,11000,"İnönü, Esenyurt",1+1,120
BEYLİKDÜZÜ YAKUPLU MAHALLESİNDE 2+1 KİRALIK DAİRE,No type,No tag,10000,"Yakuplu, Beylikdüzü",2+1,130
"BEYLİKDÜZÜ YAKUPLU MAH, 2+1 EŞYALI KİRALIK DAİRE",No type,No tag,15000,"Yakuplu, Beylikdüzü",2+1,90
BEŞTELSİZDE ASANSÖRLÜ CADDE ÜZERİ 6 YAŞINDA KİRALIK DAİRE,No type,No tag,25000,"Beştelsiz, Zeytinburnu",2+1,105
GİZİL EVLERİ - HAVUZLU SİTEDE EŞYALI KİRALIK 1+1 DAİRE,No type,No tag,18000,"Adnan Kahveci, Beylikdüzü",1+1,65
Gülbahar Mahallesi 2+1 Eşyalı Kiralık Daire,No type,No tag,30000,"Gülbahar, Şişli",2+1,110
"EŞYALI KİRALIK DAİRE  GÖKALP,DE . 70 M2 1.1 ASANSÖRLÜ",No type,Acil,20000,"Gökalp, Zeytinburnu",1+1,70
CITY CENTER BELEDİYE AVM TAPU ÜNİVERSİTE 1+1 KİRALIK HOME OFİS,No type,No tag,9500,"Zafer, Esenyurt",1+1,75
Nidapark Küçükyalı Full Eşyalı 2+1 Kiralık #667,No type,No tag,48990,"Çınar, Maltepe",2+1,96
CİTY CENTER AVM TAPU ÜNV BELEDİYE KİRALIK 1+1 HOME OFİS,No type,No tag,10000,"Zafer, Esenyurt",1+1,75
ALTINŞEHİR'DE SİTE İÇERİSİNDE 240 M2 DUBLEKS 4+2 KİRALIK,No type,No tag,30000,"Altınşehir, Ümraniye",4+2,240
FLORYA MERKEZDE BAHÇE KULLANIMLI SİTE İÇİNDE 2+1 KİRALIK DAİRE,No type,No tag,25000,"Şenlikköy, Bakırköy",2+1,130
Beşiktaş abbasagada fuul mobilyalı temiz daire,No type,No tag,20000,"Abbasağa, Beşiktaş",2+1,85
VALİKONAĞI CAD. İÇİ YENİLENMİŞ BAHÇELİ EŞYALI KİRALIK 2+1 DAİRE,No type,No tag,60000,"Meşrutiyet, Şişli",2+1,150
İSTANBUL BEYLİKDÜZÜNDE KİRALIK EŞYALI DAİRE,No type,No tag,30000,"Kavaklı, Beylikdüzü",3+1,174
DENİZ MANZARALI SIFIR KİRALIK 2+1 ARA KAT DAİRE,No type,No tag,20000,"Kavaklı, Beylikdüzü",2+1,115
TEŞVİKİYE BÜYÜK ÇİFTLİK SOKAKTA KİRALIK 4+1 DUBLEKS DAİRE,No type,No tag,60000,"Teşvikiye, Şişli",4+1,190
KİRALIK Daire 4+2 Dublex,No type,No tag,24000,"Hamidiye, Çekmeköy",4+2,230
İdealtepe 2 Teraslı Balkonlu Sıfır Dubleks Daire Marmaray Yakın,No type,No tag,58000,"Çınar, Maltepe",5+2,180
"ŞEBNEM ÖZGÜL'DEN Florya Adakalede Bahçeli,Tadilatlı 3+1",No type,No tag,43000,"Şenlikköy, Bakırköy",3+1,160
ZEN YAPI'DAN KİRALIK 1+1 SİTE İÇİ  DAİRE,No type,No tag,10000,"Cumhuriyet, Esenyurt",1+1,85
ZEN YAPI''DAN KİRALIK 2+1 BAHÇE KATI,No type,No tag,9500,"Selahaddin Eyyubi, Esenyurt",2+1,100
Green Pine Maslak Residence Full Eşyalı 1453 Manzaralı 1+1 64 m2,No type,No tag,23000,"Ayazağa, Sarıyer",1+1,64
MÜSLÜM EMLAKTAN İÇİ YENİLENMİŞ KİRALIK 3+1 DAİRE,No type,No tag,12000,"Ambarlı, Avcılar",3+1,120
A-Tıpı Blok 2+1 75 m2 ( Açık Mutfak )Tuzla Şifa'da Kiralık Daire,No type,No tag,13500,"Şifa, Tuzla",2+1,75
ÜMRANİYEDE KİRALIK 2+1 ASANSÖRLÜ DAİRE,No type,No tag,23000,"Aşağı Dudullu, Ümraniye",2+1,100
MASRAFSIZ  KİRALIK DAİRE 2+1,No type,No tag,16000,"Merkez, Eyüpsultan",2+1,90
KOZAPARK AKBATI RESİDENCE 'DE 2+1 KİRALIK DAİRE,No type,No tag,30000,"Koza, Esenyurt",2+1,120
Maçka da Boğaz Manzaralı 2+1 Kiralık Lüks Rezidans,No type,No tag,175000,"Vişnezade, Beşiktaş",2+1,230
"ŞEBNEM ÖZGÜL'DEN Florya Adakalede Müstakil Girişli,Bahçeli 4+2",No type,No tag,110000,"Şenlikköy, Bakırköy",4+2,330
"ŞEBNEM ÖZGÜL'DEN Florya'da ,Yeni Binada 4+1 Lüx Ara Kat",No type,No tag,55000,"Şenlikköy, Bakırköy",4+1,185
Fatih İskenderpaşa'da Kiralık Daire,No type,No tag,15000,"İskenderpaşa, Fatih",1+1,80
